ID,State, Name,Password
31,Andhra Pradesh,Goshtani,Fr361ZCLwoUKlh96QjswOg==
32,Andhra Pradesh,Halaharvi,4QsUIxZpmmkmvRjgZCtZlg==
33,Andhra Pradesh,Jellipalli,8CM/DteVzihkWnCtmKloYA==
34,Andhra Pradesh,Jodi Dharampuram,Vfpx7OrlRZ8EGIxXLzIK5Q==
35,Andhra Pradesh,Kalaparru,4UkaGWm+4Zj2XLpDooNd6A==
36,Andhra Pradesh,Kasepalli,8jCzKecFYo7siNujKUMHtg==
37,Andhra Pradesh,Kaza,3DMTNK3hZJuRGyRDzGf3DA==
38,Andhra Pradesh,Keesara,jbC8lExuutLpEslbVxmD0g==
39,Andhra Pradesh,Krishnavaram,09OCcRWbLqSHd3St3W/S0g==
40,Andhra Pradesh,Laxmipuram,kMZBP7Jbat7q9TD6HpwY/g==
41,Andhra Pradesh,Madapam,db0Ol34mEKWiPXSK9Ovrdw==
42,Andhra Pradesh,Mahasamudram,pzpCFDBnIPwEcQDy+URTGg==
43,Andhra Pradesh,Main Toll (Panchvati),4QQopERRWt0w9pFdyPC6oQ==
44,Andhra Pradesh,Marripalem,mcFRVKG0QFvNxQwwMDlopg==
45,Andhra Pradesh,Marur,PjvxqcDP6wJnnRmOXaqlEg==
46,Andhra Pradesh,Medapi,m8+v+pJ1o/huCSUJ29fpbA==
47,Andhra Pradesh,Mekalavaripalli,gUnMcz+SErihebKsvRNkRw==
48,Andhra Pradesh,Millampalli,YHTomLBlJwdVq309+Qd8pA==
49,Andhra Pradesh,Mopidevi ,aWfagE2n5IFTVYCd4Ps1qw==
50,Andhra Pradesh,Mudiveedu,Nt08Sl4XW+mY577aVlP9hg==
51,Andhra Pradesh,Munjuluru,JBqVBEC9d5OFgpu/1UrQ2g==
52,Andhra Pradesh,Nannur,u0H6ZbCkNoPEPfsTgUlUcA==
53,Andhra Pradesh,Nathavalasa/ Vizianagaram,w8+JvVYxmGaXQdzwGRU4jg==
54,Andhra Pradesh,Palempalli,Y3z34bFwfNHEBDXpw85LpQ==
55,Andhra Pradesh,Panchvati,H6voJOva09fy1fA6K08jHQ==
56,Andhra Pradesh,Pandillapalli,SaQMjaRkohuqcrBl4M85Cg==
57,Andhra Pradesh,Panthangi,YSZxlhVrFSMlLc4D92B6JA==
58,Andhra Pradesh,Patancheru (Prograssive Construction Toll) (MoRTH),GICMcFz7+xiUZQxChDL2xg==
59,Andhra Pradesh,Pottipadu,LYLlnpOLCpnqqrgNBLuTxQ==
60,Andhra Pradesh,Pullur,Fh53Ut6rv7rXQfnKTT0gSQ==
61,Andhra Pradesh,Rapur,kmeh+6FSANHl1QNAN8nQRg==
62,Andhra Pradesh,Raviguntapalli,Wm/InMapC9BNqZHKr13Owg==
63,Andhra Pradesh,Secondary Toll (Gosthani Gate /Sheela Nagar),Ps+XfDQrkVXs5uAJGyPixQ==
64,Andhra Pradesh,Shakhapur,GVS4+Iudwvl3OJ3Kmys6Lw==
65,Andhra Pradesh,Singarenipalli,fGA909ZAp/XvESvbQwxL6w==
66,Andhra Pradesh,Sullurpet,9PbGxbfFq9w7PZEyLGJQJA==
67,Andhra Pradesh,Sunambatti (Musunuru),ztnXkIQnzMW5GMqoFK0JAg==
68,Andhra Pradesh,Tangatur,0WUEnMhhhFCjKvV3wghYTQ==
69,Andhra Pradesh,Thenepalli,D/nlap+nhXIM1DhC6sF05A==
70,Andhra Pradesh,Unguturu,b7fVtMtC7cgJTsn33dmh1Q==
71,Andhra Pradesh,Vaddupalli,ztCUhjyN4TlTcnEhU2dm6g==
72,Andhra Pradesh,Veeravalli,RxeUtyCUSSSOLRDqp34rbg==
73,Andhra Pradesh,Vempadu,Hn1s6rdY8y7QdU2F6B3yvQ==
74,Andhra Pradesh,Venkatachalam (Old Nellore),HLeZaYKi5NgxH74qJKKGKw==
75,Andhra Pradesh,Yerradoddi,IVsjPztCGgE3SMFtnFpWjQ==
76,Assam,Balachera,UJd/yzGwK36VhFJ4JKAIIw==
77,Assam,Daboka,USCncMGP6iRG5Bqeka/tWg==
78,Assam,Dahalapara,TiRy3vK2Pi2VB329UhkSHA==
79,Assam,Galia,QiCHkAqcfST5DWBfiaKPTQ==
80,Assam,Gangadhar Bridge (MoRTH),2zFCeWoJ86Y/s4q+BA/dkg==
81,Assam,Kalia Bhomora Bridge (MoRTH),PynPQfueVIDZdVz2Mqj/nQ==
82,Assam,Madanpur,b3fNJIN6O8NXPK/9tjjEMA==
83,Assam,Manderdisa,OR1a0/nxjBuezYcgF/2QzA==
84,Assam,Mikirati Hawgaon,Fpx80T7kHEOYdkQnZiDjbw==
85,Assam,Nazira Khat,1jaqqOKyBdCdxplxUzzCHw==
86,Assam,Patgaon,DPpGbMWwE7mrI6hrDeubzQ==
87,Assam,Raha(Saragaon),xtAWutkVdHPN8arFETepVQ==
88,Bihar,Asanpur,bqHUjeSwQOYjpMZxYhPFhA==
89,Bihar,Babhniyawan,/Z6934XQaUikC9nPfEbOzg==
90,Bihar,Balgudar,SAKyfbc0v/RITr0GPTWlpQ==
91,Bihar,Barsoni,9Xw51DW4QBcZUlSPirp8rw==
92,Bihar,Bhagalpur,knN/l0pyUkOKjNav2R62oA==
93,Bihar,Bishunpurwa,LqY2B6TvqZySc02p5aRLsA==
94,Bihar,Chainwa (Chapraitha),t03QhZSnOc6p/s5X9Zm6nQ==
95,Bihar,Daffi,r8c+0xAu0YJ48mesQOLo1w==
96,Bihar,Dalsagar ,4BbyEvesCLoeZtCVjhPFUA==
97,Bihar,Deederganj,1T1IOD4pAYg46hR99kpB0A==
98,Bihar,Govindpur (Murli),VrA6qJqtMNnjuJKlNYkXGg==
99,Bihar,Hariabara,7KA5cNxiyrv1IV5E0Bct0Q==
100,Bihar,Karigawan ,KLVPo3MtwYTnRZazRaRN6w==
101,Bihar,Khaikhat,PHbZedRBdf8EGhk/oGyUHA==
102,Bihar,Kharik,wbzfI1miuv+AsbUfSLHJ2g==
103,Bihar,Kulhariya ,tf1E/paZ0fvGv8mVtZ9AfA==
104,Bihar,Mahanth Maniyari,xyC3vY15IvkKRM2N4QghvQ==
105,Bihar,Maithi,FfPfE0QfvGOOJssg7E5TmA==
106,Bihar,Maranga,A8Jvx0o2LJnPQCHmbQ1FuA==
107,Bihar,Mohania,GGCLXlvidXONev3sIh27vA==
108,Bihar,Navasari,/+e5hkXQoBmkv0H1W1JS0A==
109,Bihar,Parsoni Khem,s7d/CKo/1MYi5WrG52XZAQ==
110,Bihar,Pokhraira,2ulCmlPPgh80tZDdRvH37w==
111,Bihar,Raje(Old Naraur),hzOi8amQ33WwriUHaEgF8Q==
112,Bihar,Runni,WRYnc3O+ogIPFt9QL49KFQ==
113,Bihar,Saidpur Patedha,Lj+h256mbGM4MzYWpKXOdQ==
114,Bihar,Sasaram,Tzkz7QDs7I1tL1Lia/HvmQ==
115,Bihar,Saukala,iFV+4W5mJZT9/INxwTVokA==
116,Bihar,Shahpur,uGMeubPXV+rG9HyfGLk1wg==
117,Bihar,Thawe (Brindavan),OtEby0VXGC/ClI+50KE3MQ==
118,Bihar,Toda,M89MF2NAbRmFl3pYBa7oFw==
119,Chandigarh,Jia Bridge (MoRTH),98he+v2u1LRm2CpB0FsP4g==
120,Chhattisgarh,Badayiguda,qAt7Gj5kx5eI6wJ3OjJ1OA==
121,Chhattisgarh,Bhojpuri,JMTA884nJZSBn4AKYB5j1g==
122,Chhattisgarh,Chhuhipali ,sm29VJsycVmNjDp1mUMuUw==
123,Chhattisgarh,Chotiya,gk3SGW3OaZKTn74Ikde3Qg==
124,Chhattisgarh,Dhank,3D+C5h0nkH2WE7SyHcTvHg==
125,Chhattisgarh,Durg Bypass (Dhamdanaka),pBcv3oxgKFvoMpQBo3wbvg==
126,Chhattisgarh,Jagtara,N8g4Z8EUcu5sKE3F9BY6oQ==
127,Chhattisgarh,Kharun (MoRTH),hUkjbwvR1VR/MnNLWYZ28Q==
128,Chhattisgarh,Kosa Nala (MoRTH),VUZH0HuK55Mma5kkEAA1wA==
129,Chhattisgarh,KUMHARI,zWe5V8eWlgL9qrwiXIHXhA==
130,Chhattisgarh,Mandir Hasaud,gXiclski49tYOCc0jsXBQQ==
131,Chhattisgarh,Mashora,OetyHvaS/NK1TUcNaHc/XA==
132,Chhattisgarh,Mudhipar,9/DMRouYWdeT0xIY7JvRsA==
133,Chhattisgarh,Nandghat Bridge (MoRTH),2dO8gnyc4ON/FaUqO7WDrQ==
134,Chhattisgarh,Pachira,pskt1NMwt30UNL2f+a0FBw==
135,Chhattisgarh,Paraghat,YVP9fK0tMShWZ+/86bE9OQ==
136,Chhattisgarh,Sundar Nagar,1nC5m6+h4XFD913wAeEsrg==
137,Chhattisgarh,Tarpongi,wT/nOczWVhlbBZbQZKMYow==
138,Chhattisgarh,Thakurtola (End of Durg Bypass),Gn/jKfUmgIgiBDs3E3q8zw==
139,Delhi,Badarpur Elevated,7T9OmhQu9nTlP60d/cFn3w==
140,Delhi,Bhagan,i6RSdE/Qkn8rtyd/pIdCRw==
141,Delhi,Chhajju Nagar(EPE),gYB1Hbh2dJM+H2sDtEtDdg==
142,Delhi,Gadpuri,6BRqbi+Dc6D0UypX19Tv+Q==
143,Delhi,Ghamroj,koL7Kne4v+Y4fhQnrYIOIg==
144,Delhi,IGI Airport,r4Reb2FByG2hFgpqv5g2Qw==
145,Delhi,Karman,lx02h4wq8aUf8V8fn3GJHA==
146,Delhi,Kathuwas,NbLhDfX78m4375Lhx2+I5Q==
147,Delhi,Kherki Daula,/94aGRG33ow8G7bUIGWUaA==
148,Delhi,Rasoolpur Sikrod,LoSBblZIl4qUtos9FK2ofw==
149,Delhi,Sirohi Bahali,6rfDtfDQrkApAcZwg2mX9w==
150,Gujarat,Ahmedabad,km0GhLiRicFIZEHQG+728Q==
151,Gujarat,Anand,xvliLvSTuPzcfSF1TJiSCA==
152,Gujarat,Bagodara (MoRTH),M5ISOUo0b7IybxJ8rPcJ6g==
153,Gujarat,Bamanbore (MoRTH),I7uYg+1s38nbogNKTG3m/w==
154,Gujarat,Bhadbhid,WV71JhRPdvJ5MxyWVMXGbw==
155,Gujarat,Bhagwada,dqZhd26LtKMOkyGnHpm1bA==
156,Gujarat,Bhalgam (Belgaum),cqqKMk4xq2LMLT1kQbJMTw==
157,Gujarat,BharthanKarjan,XhaYdZBXk6bXmqBw3NFxWA==
158,Gujarat,Bharudi,s/qCFzlofFjTXOg9wRPavQ==
159,Gujarat,Bhatia,uusKoE4GJ7UZX2gaGPThCw==
160,Gujarat,Bhatwada (Godhra),5EVwRcXA4MebdXUPZ+z79A==
161,Gujarat,Bhiladi,zDxC0GvuRHoZVbe5WKJP3A==
162,Gujarat,Bhordu,dkJNY3O6jJt8FKCYw+DB4Q==
163,Gujarat,Boriach,NZY7S5cw36EfTOwaZPDlzA==
164,Gujarat,Charoti,xnHu+YWWZ76kMGMqkFfyNw==
165,Gujarat,Choryasi,qpvRfThPV3TOgGvhv4bDCQ==
166,Gujarat,Dari,QncnUSm2YlVaJsTffyrgxA==
167,Gujarat,Dumiyani,hpmtJeAflcruLMKB/2vXqg==
168,Gujarat,Gadoi,DFdfeSVvGu6JV2D+WPPkIA==
169,Gujarat,Gorsar,NOo2bT/BV9NvXtP7OCA6Ag==
170,Gujarat,Kathpur,iIEflyb7+9MobRLZl8K4bA==
171,Gujarat,Khaniwade,mdpk33+22aazlDWApgpEFQ==
172,Gujarat,Khemana,z0eXpRVTkZWa1G5tGesBdg==
173,Gujarat,Kobadi,jIDoWu0BEQ5CiPAw/m28gQ==
174,Gujarat,Kuchadi,fCPm8yNhKP/y9klx/BaKPA==
175,Gujarat,Limdi,jyrQ3QYFTzyvW+ydx/J63w==
176,Gujarat,Makhel,r/FNqBGM4TZC41UZ1nCsTw==
177,Gujarat,Mandal (Vyara),nrOjVHFdff/+Td6ufQQ2og==
178,Gujarat,Mandava,2CDA6UELeDQ4me9X0r6UTA==
179,Gujarat,Mokha,y/jYQcnE4tOS2oA5fDZ56Q==
180,Gujarat,Nadiad,6QYwWNl5E8BQTIGInx0NoQ==
181,Gujarat,Nageshri,yIyYqAD7fMWGyXMCBjFX9Q==
182,Gujarat,Okhamadi,CWGm7ljUs/PCW0Nrw6qwQg==
183,Gujarat,Panthwada,KpkCljr71fV8G56p9zAOow==
184,Gujarat,Pithadiya,RsR2ZE8+3F0AXE3hg5r9KA==
185,Gujarat,Pithai,sss5cIRMCQadCO+80OoDdQ==
186,Gujarat,Radhvanaj (Kheda),pf3pvMklVcdPS1Jk4+o1Tg==
187,Gujarat,Ring Raod,eLNgoJWv+60cgEv6A+Plsg==
188,Gujarat,Samakhiyali,J6R4/eyy1h010ozS52/uiQ==
189,Gujarat,Surajbari,UbEiD7mnzn3rbFpDjqiN8g==
190,Gujarat,Undavariya/ Sirohi,SlC61HoYZbCR4nLCLI71GA==
191,Gujarat,Vadodara,unSfLgLLvfVNj4gPXRyvXg==
192,Gujarat,Vadodra,T53edhm4PwiJ7GJ4/SE/cg==
193,Gujarat,Vaghasia,I9UJb1LekT3tH3iXUQ2gjg==
194,Gujarat,Vanana,XqtKUzkLJl5Bko9D6gSbew==
195,Gujarat,Vantada,Yv4pi847G4aryGM71UDHXw==
196,Gujarat,Varahi,ETUdhDoQCAfmj9ZM0f0hZw==
197,Gujarat,Vasad,GEGab3LZcTlp3dlFCaQXeg==
198,Gujarat,Vavadikhurd,eTMce0IVzyDLio9sNz1dPQ==
199,Haryana,Amrawali Khera,I5jme9oRU4TcajhQj3URhg==
200,Haryana,Badopatti,T8OALk462h9DOPEtk7BS1Q==
201,Haryana,Bahri,TfOefJk6ha7Lz7cBwl59ew==
202,Haryana,Bainsi,4240wyuINW3LplT6qfN72Q==
203,Haryana,Bamla,sm6D3kvWRGBV7CmNRrQqDQ==
204,Haryana,Bass,MZGg6J5iq4AdODPYBniFog==
205,Haryana,Bhago Majra,rOnvpxSN0bB+zF+JyXkcbg==
206,Haryana,Bhalki,/A81Au/eS/RXSnXJO8DTJA==
207,Haryana,Bhavdeen,ashDhsdBYRv9AF685x+2MQ==
208,Haryana,Bisawas,A4u3YYAKQpcskOyO4HhluA==
209,Haryana,Buchawas,GFB+414UP/4ZumjZ1zgKHg==
210,Haryana,Chandlana,GHfesCKvX6qfgouWZBMaXA==
211,Haryana,Chaudhriwas,nQCn6onvN0d6JFzQLogpzg==
212,Haryana,Chhara,at5NnD1gKhiq8ujvPCi/LA==
213,Haryana,Dadri,+mjciaVsNbp5gObFSdILtA==
214,Haryana,Dahar,RUVKXBDjOtGaGcO/iUjfzg==
215,Haryana,Dighal,tT5umQvMx3CNN2vIi3Xfzw==
216,Haryana,Gangaycha Jatt,xDPA6fGEQSwNvBfwmYLo/Q==
217,Haryana,Gharaunda (Karnal),WI06B7wrtK7L/czvxD0VGA==
218,Haryana,Ghata Shamsabad ,3ZI6oBBgTKQwCiH47CFLgw==
219,Haryana,Ghulal,NSQ2hUGgsiZXCzcgfFXJkQ==
220,Haryana,Hilalpur ,uvAXQ1ZOF/dhO7PSTLztLA==
221,Haryana,Jalouli,IIBvFTaPPpC5RazT1GxNJw==
222,Haryana,Jat Guwana,3WutHOG6H6eFgaYAVfmCRg==
223,Haryana,Jharothi,7TAQFZEI8UxMaOb7AM3niw==
224,Haryana,Kalinger ,Y1peNekJ07m8l2m6z+8kYQ==
225,Haryana,Khalilpur ,lH8nWMiHqQFO8MdcbBH3jQ==
226,Haryana,Kharkhra,kFOrJZUYZ0ooesIg9SjUfQ==
227,Haryana,Khatkar,sdSnLDqqojBVI24BVI/zIw==
228,Haryana,Kherari,NiAKgk1WF0IfA4Et6ecljg==
229,Haryana,Kheri Sharaf Ali,FsgT3ZmPd8kNrWnZc7WQQw==
230,Haryana,Khuian Malkan,byBI01FPWiQGsr5zMN1/xA==
231,Haryana,Kilazafargarh,z1J+Nc+XjV1pG2s5yEsWOQ==
232,Haryana,Kitlana,ogTC+e+TPYvyndK14Pxu5g==
233,Haryana,Landhari,XIyWOABv/Ja/4X0ouxJnRA==
234,Haryana,Ludana,49IAG0IjWJBhnU299Ral3g==
235,Haryana,Madina Korsan,zjmxuK1FdoyesFLrD9CwkQ==
236,Haryana,Makrauli Kalan,GFLywQsySELiGCSFiAhjXg==
237,Haryana,Mohna,XbEsxt1hkAZjcUPQYPtHrw==
238,Haryana,Morwala,EpBiTyn3KnXQ7DEj12IBqA==
239,Haryana,Narwana,VKAqkZwrRIVjkzr9uNlISQ==
240,Haryana,Pabnawa,T/Af8QfLpS5aPsnE7a3ULA==
241,Haryana,Panipat Elevated,jWqZ5jCSZAdlIBHkJTRyKw==
242,Haryana,Peont,0VN+VgFuk4dzpPtOKQfmIQ==
243,Haryana,Pinan ,6KLFPUD8lu4Kj9b4oPT2Mg==
244,Haryana,Ramayana,X3vlPq50yRD6hfnFNRo3bw==
245,Haryana,Rohad,MssypvoEd1pyLuQR+XXWsw==
246,Haryana,Saini Majra,2CFj685iJ8b1gfimcnxgGg==
247,Haryana,Sambhu(Ghaggar),cx0DTuCXZhbQhXfQk+sobw==
248,Haryana,Sheetal ,QfW5z9S/Qmbo2Fr6tou9jw==
249,Haryana,Thana,XDKUf1fQboBlnRFExE/Feg==
250,Himachal Pradesh,Dolhu Nallah (Raison),T6DqLyURW6LClQdYB7OquQ==
251,Himachal Pradesh,Sanwara,cxhhowWPxpxKwh9foj4fww==
252,Himachal Pradesh,Takoli ,KIXFEWLTARKrhREH86TaLw==
253,Jammu and Kashmir,Bann,SYhCKS8AneLjV9cVcOLctA==
254,Jammu and Kashmir,Kaichachkoot,YfMJ9pe/xNayk5bkcGvG4Q==
255,Jammu and Kashmir,Lakhanpur/ Rajbagh,BVyV5HTzEhgEjhYfNGHN1w==
256,Jammu and Kashmir,Lamber,oDXziRTFTF4sjInbf0g4kA==
257,Jammu and Kashmir,Mada,o0VwLBKpu/zYVupkYuaBSg==
258,Jammu and Kashmir,Nashri,coSUtfTzFvmpaaSPPN/wsw==
259,Jammu and Kashmir,Thandikhui,XvA1CzoZiK2/283Kkaquiw==
260,Jammu and Kashmir,Ujroo,iomvlxyCujB+6T99SzX3vQ==
261,Jharkhand,Edalhatu,LUX/GoSMxSLeyJIRtlQW6g==
262,Jharkhand,Ghanghri,3HBpJ9jSKWONmMV/e99i9Q==
263,Jharkhand,Hazaribag,d+ZoYIDE9eOniaIWrhSkNQ==
264,Jharkhand,Hesmi (Mandar),4A6ymbkDSq32dbYMQciapA==
265,Jharkhand,Hesmi (Mandar),6B6+gAnrlGixkpNLKr7ryA==
266,Jharkhand,Kokpara,b94PQCfZz+NtQLndjUlgMQ==
267,Jharkhand,Kothiya,JOLJsHKy+GVW6xFk58DIVw==
268,Jharkhand,Nagwan ,rXmadAFsTyaXbQaEEX3L0A==
269,Jharkhand,Pundag,UGesqtN2H/iejKiF5RLaPw==
270,Jharkhand,Pupunki,jwI0itapKBE4jrgz8L3Ksg==
271,Jharkhand,Putru,nB87QzMVNgm5fFVdHW9p9g==
272,Jharkhand,Rasoiya Dhamna,EbV9wFbu3hyuIAqz5ErqoA==
273,Jharkhand,Sosokhurd,7/tvaI/YfipeEm9blkWZsg==
274,Jharkhand,Tand Balidih,7x5mQUqkWv+SYyAaH2qyMQ==
275,Karnataka,Attibele (BETPL),0euCQefL6O3jnpt9SrvxHA==
276,Karnataka,Bagepalli,OOmryBs7VV5cL+WtjtKktA==
277,Karnataka,Bankapur,Sdusmse+bq8NFUh8DKU5vg==
278,Karnataka,Bankapur,I2rJb8aLAlL8RvbCRCn1Jg==
279,Karnataka,Belekeri,0RsfEqZKkDJwuq/7ZaRPXA==
280,Karnataka,Brahamarakotlu,fRXuUKtfHyYMlVzry7TwWA==
281,Karnataka,Chalageri,474pOH5mUuwGX5Egf7gXBA==
282,Karnataka,Doddakarenahalli (Neelmangala ),f3WCuppmyvEf1rRBJTCx9A==
283,Karnataka,Elevated Section/ Electronic City,EiQ4iXF2EtMpTVPqa524YA==
284,Karnataka,Gabbur (MoRTH),tPfmCMtuSL8k+ngVOWha+Q==
285,Karnataka,Gaddurur (Nangli),bboQvllLgPESzDVksKBuCA==
286,Karnataka,Guilalu,gPZIRJkhVO+4oTA+4vjkcQ==
287,Karnataka,Gundmi,66RkM9zy4BXHJ4oxMA6L7A==
288,Karnataka,Halligudi,NU7Qd7XPkWDsIzYOr00Kgw==
289,Karnataka,Harval,cRyWBetVxq0VCdEcgsgV5A==
290,Karnataka,Hattargi,qhpMprHkTbTt1Jvb+JkiXA==
291,Karnataka,Hazamady,Fn+QAY2fxfDZX4BJ8nogBA==
292,Karnataka,Hebbalu,EFx3DecF7Xqu8cqQwk3wrg==
293,Karnataka,Hejamadi,vrTXypnTGsVwxq1d14qbVQ==
294,Karnataka,Hirebagewadi,b04wOr6QGMrloKcocA3viA==
295,Karnataka,Hirehalli,2e8aantxxtTIXdhbGuLBCw==
296,Karnataka,Hitnal,Nlnb2CYLNkY/S8K8+foEoA==
297,Karnataka,Holegadde,vhsjfT8OTLyzAyQXzXx72w==
298,Karnataka,Hoskote,bAjtWZ32hMnD7YeuI/jLQg==
299,Karnataka,JAJARAKALLU ,40DDEclNDKwiBcDvBxDbcw==
300,Karnataka,K N Hundy,0yR2lQ/yu6v27UQHuhyxlA==
301,Karnataka,Kamkole,ckebescFgs7A9oZ+6NuUAA==
302,Karnataka,Kananakatte ,6ykn+wtccShFQrJYwmIrBg==
303,Karnataka,Kannegala,b0gw45XBLe7lGTyYt0kHgQ==
304,Karnataka,Kannolli,1s6nIju84r6gBR98J/P/PA==
305,Karnataka,Karabylu (Bellur Cross),bAc1gGeSm6JbmzVTmOzXcQ==
306,Karnataka,Karjeevanhalli,D29EyAjLRKTGocJTcTdnuQ==
307,Karnataka,Kasaba (Bijapur),uTQU+Ow7Ca5ybBysJFO9vw==
308,Karnataka,Kaythsandra/Tumkur/Chokkanahalli,XFVvEZWFNAnqV7lHRB94qQ==
309,Karnataka,Kirisave,soBUWyeqgzVkRH6C9nntZw==
310,Karnataka,Kognoli,psYGoH/C4Xq1X5/7NXQ/cA==
311,Karnataka,Mangalgi,HmSefZ1I25qvedaWexTHvA==
312,Karnataka,Mulbagal,Yg58PuGUVrHNqjpuuDNZZQ==
313,Karnataka,Nagarhalla,csKJrNNgGcvBhkP1+M6a3g==
314,Karnataka,Nalawadi,CdSTNSHIOhpRXobu1Cc61g==
315,Karnataka,Narendra (MoRTH),gWEP6qKIx6IPYDSB1wA+EQ==
316,Karnataka,Navayuga Devanahalli / Sadahalli / Pujanahalli,8anEkpI9XobsFkYfA4g1aA==
317,Karnataka,Neelamangala - Tumkur /Kulumepalya,Hev8by0sEAA7TOG/bykMRQ==
318,Karnataka,Rajatadripura ,My5+UBzWiuiKW+Ojv2bUgQ==
319,Karnataka,Shahapur,tmsRp5g+XFBrE997LY3cdw==
320,Karnataka,Shanthigrama,LV8P0ENy+RkUYTsg6YYUvw==
321,Karnataka,Shirur,853DGcybPJrVhk6q3cRH2w==
322,Karnataka,Surathkal,Vy/cye4LoVrAHZsxZbXaZA==
323,Karnataka,Talapady,cs50Ax1f7ehnvYcz2sRhxw==
324,Karnataka,Thimmalapura,BP07Hqej//3GkTJV/g8TsA==
325,Karnataka,Towards Bengaluru,+S5ROTEgl/2SfZmjiMbnTg==
326,Karnataka,Towards Neelmangla,XaUUrp3d/WBrrkN5uqhElw==
327,Karnataka,Vanagari,elOhUEpTFh9ieainLc4B2Q==
328,Karnataka,Yeddore,dEp/J9GW5K8Ic3sEewWWqw==
329,Kerala,Akkulam (MoRTH),vnsB1znWQa5L412VruAVBg==
330,Kerala,Chullimada Hamlet (Pampampallam),5rFx/lGE9EXtfaxNgWInSw==
331,Kerala,Kollam,dk1lp2rXrY7WtfJSSgyfGg==
332,Kerala,Kumbalam,5HJyvFyT4cXoicz2Rjs+Jw==
333,Kerala,Kundannur (MoRTH),UFcPbn/XbTfDT+4ObZWmBw==
334,Kerala,Paliyekkara,6JPPNWF32osB06xtT2TGvA==
335,Kerala,Panniyankara ,mL22CYnlUHYRA4ukogFzqw==
336,Kerala,Ponnarimangalam,YoJUNFRoNrbyxsWiRYwufA==
337,Kerala,Thiruvallam,ZUCyvkIvWS7v22fdZ9VYsQ==
338,Kerala,Varapuzha Bridge (MoRTH),KaGe0Vv0r3fDBXxUQJUzIQ==
339,Madhya Pradesh,Allonia,sxTl6W8uLj7VALgGodmI3A==
340,Madhya Pradesh,Ashoka DSC Katni bypass (MoRTH),UQGliVAYQs5RsSV5s3wDqg==
341,Madhya Pradesh,Bagwada,dT55TUKTtsEpZ9KqO+f5Ow==
342,Madhya Pradesh,Bakoli,WVjNsnBZ7SMutm8oxyf22g==
343,Madhya Pradesh,Barahi (MoRTH),tBMD88zu61msv4Om/uMgXw==
344,Madhya Pradesh,Baretha (MoRTH),pOKa0dU9bGfB3WjBHmJzTw==
345,Madhya Pradesh,Bela,91GnrJg/6YDaJJKbNCt8eg==
346,Madhya Pradesh,Boharipar (Khursi),QL248eF+YJJXnIU4Frjd6A==
347,Madhya Pradesh,Borkhedi (Nagpur ByPass),pxx8hDJUKTws6YZyqb2v5w==
